Model,Road,Scenario_ID,Parameter,Matched,Success,Difference,Robustness
llama-v2-13b-chat,Road2,20,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,21,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,21,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,21,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,21,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,22,Position,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road2,22,Rotation,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road2,22,Velocity,0.0,2.5,5.0,-2.5
llama-v2-13b-chat,Road2,22,Angular Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road2,23,Position,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road2,23,Rotation,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road2,23,Velocity,0.0,2.5,5.0,-2.5
llama-v2-13b-chat,Road2,23,Angular Velocity,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road2,24,Position,9.5,9.75,0.5,18.75
llama-v2-13b-chat,Road2,24,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,24,Velocity,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road2,24,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,25,Position,0.0,2.5,5.0,-2.5
llama-v2-13b-chat,Road2,25,Rotation,0.0,3.75,7.5,-3.75
llama-v2-13b-chat,Road2,25,Velocity,0.0,2.5,5.0,-2.5
llama-v2-13b-chat,Road2,25,Angular Velocity,0.0,0.25,0.5,-0.25
llama-v2-13b-chat,Road2,26,Position,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road2,26,Rotation,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road2,26,Velocity,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road2,26,Angular Velocity,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road2,27,Position,0.0,2.5,5.0,-2.5
llama-v2-13b-chat,Road2,27,Rotation,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road2,27,Velocity,0.0,2.5,5.0,-2.5
llama-v2-13b-chat,Road2,27,Angular Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road2,28,Position,9.5,9.75,0.5,18.75
llama-v2-13b-chat,Road2,28,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,28,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,28,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,29,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,29,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,29,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,29,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,30,Position,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road2,30,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road2,30,Velocity,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road2,30,Angular Velocity,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road2,31,Position,0.0,0.5,1.0,-0.5
llama-v2-13b-chat,Road2,31,Rotation,0.0,0.5,1.0,-0.5
llama-v2-13b-chat,Road2,31,Velocity,0.5,2.75,4.5,-1.25
llama-v2-13b-chat,Road2,31,Angular Velocity,0.5,3.0,5.0,-1.5
llama-v2-13b-chat,Road2,32,Position,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road2,32,Rotation,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road2,32,Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road2,32,Angular Velocity,0.0,1.75,3.5,-1.75
llama-v2-13b-chat,Road3,33,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,33,Rotation,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road3,33,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,33,Angular Velocity,0.5,5.25,9.5,-3.75
llama-v2-13b-chat,Road3,34,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,34,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,34,Velocity,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road3,34,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,35,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,35,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,35,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,35,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,36,Position,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road3,36,Rotation,0.0,2.5,5.0,-2.5
llama-v2-13b-chat,Road3,36,Velocity,0.0,2.5,5.0,-2.5
llama-v2-13b-chat,Road3,36,Angular Velocity,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road3,37,Position,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road3,37,Rotation,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road3,37,Velocity,0.0,2.5,5.0,-2.5
llama-v2-13b-chat,Road3,37,Angular Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road3,38,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,38,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,38,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,38,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,39,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,39,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,39,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,39,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,40,Position,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road3,40,Rotation,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road3,40,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,40,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,41,Position,0.0,2.25,4.5,-2.25
llama-v2-13b-chat,Road3,41,Rotation,0.0,2.5,5.0,-2.5
llama-v2-13b-chat,Road3,41,Velocity,0.0,2.75,5.5,-2.75
llama-v2-13b-chat,Road3,41,Angular Velocity,0.0,2.25,4.5,-2.25
llama-v2-13b-chat,Road3,42,Position,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road3,42,Rotation,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road3,42,Velocity,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road3,42,Angular Velocity,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road3,43,Position,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road3,43,Rotation,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road3,43,Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road3,43,Angular Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road3,44,Position,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road3,44,Rotation,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road3,44,Velocity,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road3,44,Angular Velocity,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road3,45,Position,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road3,45,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,45,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road3,45,Angular Velocity,0.0,5.0,10.0,-5.0
llama-v2-13b-chat,Road3,46,Position,0.0,4.75,9.5,-4.75
llama-v2-13b-chat,Road3,46,Rotation,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road3,46,Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road3,46,Angular Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road3,47,Position,0.0,4.0,8.0,-4.0
llama-v2-13b-chat,Road3,47,Rotation,0.0,4.0,8.0,-4.0
llama-v2-13b-chat,Road3,47,Velocity,0.0,4.0,8.0,-4.0
llama-v2-13b-chat,Road3,47,Angular Velocity,4.0,6.5,5.0,5.5
llama-v2-13b-chat,Road3,48,Position,0.0,4.5,9.0,-4.5
llama-v2-13b-chat,Road3,48,Rotation,4.5,7.0,5.0,6.5
llama-v2-13b-chat,Road3,48,Velocity,4.5,6.75,4.5,6.75
llama-v2-13b-chat,Road3,48,Angular Velocity,5.5,7.25,3.5,9.25
llama-v2-13b-chat,Road4,49,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,49,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,49,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,49,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,50,Position,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,50,Rotation,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,50,Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,50,Angular Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,51,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,51,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,51,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,51,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,52,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,52,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,52,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,52,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,53,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,53,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,53,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,53,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,54,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,54,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,54,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,54,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,55,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,55,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,55,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,55,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,56,Position,4.5,7.0,5.0,6.5
llama-v2-13b-chat,Road4,56,Rotation,0.0,4.5,9.0,-4.5
llama-v2-13b-chat,Road4,56,Velocity,9.0,9.5,1.0,17.5
llama-v2-13b-chat,Road4,56,Angular Velocity,4.5,6.75,4.5,6.75
llama-v2-13b-chat,Road4,57,Position,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,57,Rotation,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,57,Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,57,Angular Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,58,Position,8.0,8.75,1.5,15.25
llama-v2-13b-chat,Road4,58,Rotation,0.0,4.0,8.0,-4.0
llama-v2-13b-chat,Road4,58,Velocity,0.0,4.0,8.0,-4.0
llama-v2-13b-chat,Road4,58,Angular Velocity,0.0,4.0,8.0,-4.0
llama-v2-13b-chat,Road4,59,Position,4.5,7.0,5.0,6.5
llama-v2-13b-chat,Road4,59,Rotation,9.0,9.5,1.0,17.5
llama-v2-13b-chat,Road4,59,Velocity,9.0,9.5,1.0,17.5
llama-v2-13b-chat,Road4,59,Angular Velocity,9.0,9.5,1.0,17.5
llama-v2-13b-chat,Road4,60,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,60,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,60,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,60,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,61,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,61,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,61,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,61,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,62,Position,5.0,7.5,5.0,7.5
llama-v2-13b-chat,Road4,62,Rotation,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,62,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,62,Angular Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,63,Position,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,63,Rotation,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,63,Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,63,Angular Velocity,0.0,0.0,0.0,0.0
llama-v2-13b-chat,Road4,64,Position,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,64,Rotation,4.5,7.25,5.5,6.25
llama-v2-13b-chat,Road4,64,Velocity,10.0,10.0,0.0,20.0
llama-v2-13b-chat,Road4,64,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,1,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,1,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,1,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,1,Angular Velocity,9.0,9.5,1.0,17.5
mistral-7b-instruct-4k,Road1,2,Position,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road1,2,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,2,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,2,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,3,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road1,3,Rotation,8.0,9.0,2.0,15.0
mistral-7b-instruct-4k,Road1,3,Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road1,3,Angular Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road1,4,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,4,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,4,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,4,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,5,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,5,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,5,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,5,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,6,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,6,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,6,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,6,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,7,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,7,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,7,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,7,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,8,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,8,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,8,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,8,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,9,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road1,9,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,9,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,9,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,10,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,10,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,10,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,10,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,11,Position,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road1,11,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,11,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,11,Angular Velocity,0.0,0.5,1.0,-0.5
mistral-7b-instruct-4k,Road1,12,Position,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road1,12,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,12,Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road1,12,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,13,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,13,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,13,Velocity,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road1,13,Angular Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road1,14,Position,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road1,14,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,14,Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road1,14,Angular Velocity,0.5,5.25,9.5,-3.75
mistral-7b-instruct-4k,Road1,15,Position,0.0,4.5,9.0,-4.5
mistral-7b-instruct-4k,Road1,15,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road1,15,Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road1,15,Angular Velocity,0.0,4.5,9.0,-4.5
mistral-7b-instruct-4k,Road1,16,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,16,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,16,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road1,16,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,17,Position,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road2,17,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,17,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,17,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,18,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,18,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,18,Velocity,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road2,18,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,19,Position,3.5,6.75,6.5,3.75
mistral-7b-instruct-4k,Road2,19,Rotation,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road2,19,Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road2,19,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,20,Position,0.0,1.75,3.5,-1.75
mistral-7b-instruct-4k,Road2,20,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,20,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,20,Angular Velocity,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road2,21,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,21,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,21,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,21,Angular Velocity,8.5,9.25,1.5,16.25
mistral-7b-instruct-4k,Road2,22,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,22,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,22,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,22,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,23,Position,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road2,23,Rotation,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road2,23,Velocity,0.0,0.25,0.5,-0.25
mistral-7b-instruct-4k,Road2,23,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,24,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,24,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,24,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,24,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,25,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,25,Rotation,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,25,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,25,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,26,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,26,Rotation,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road2,26,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,26,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road2,27,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road2,27,Rotation,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road2,27,Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road2,27,Angular Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road2,28,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road2,28,Rotation,0.5,5.25,9.5,-3.75
mistral-7b-instruct-4k,Road2,28,Velocity,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road2,28,Angular Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road2,29,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,29,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,29,Velocity,6.5,8.25,3.5,11.25
mistral-7b-instruct-4k,Road2,29,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,30,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road2,30,Rotation,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road2,30,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,30,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,31,Position,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road2,31,Rotation,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road2,31,Velocity,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road2,31,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road2,32,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road2,32,Rotation,2.5,6.25,7.5,1.25
mistral-7b-instruct-4k,Road2,32,Velocity,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road2,32,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,33,Position,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road3,33,Rotation,0.0,3.25,6.5,-3.25
mistral-7b-instruct-4k,Road3,33,Velocity,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road3,33,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,34,Position,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road3,34,Rotation,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road3,34,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,34,Angular Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road3,35,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,35,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,35,Velocity,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road3,35,Angular Velocity,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road3,36,Position,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,36,Rotation,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road3,36,Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,36,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,37,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road3,37,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,37,Velocity,0.0,5.0,10.0,-5.0
mistral-7b-instruct-4k,Road3,37,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,38,Position,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road3,38,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,38,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,38,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,39,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,39,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,39,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,39,Angular Velocity,5.0,7.5,5.0,7.5
mistral-7b-instruct-4k,Road3,40,Position,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road3,40,Rotation,0.0,2.5,5.0,-2.5
mistral-7b-instruct-4k,Road3,40,Velocity,0.0,3.5,7.0,-3.5
mistral-7b-instruct-4k,Road3,40,Angular Velocity,0.0,0.0,0.0,0.0
mistral-7b-instruct-4k,Road3,41,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,41,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,41,Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,41,Angular Velocity,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,42,Position,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,42,Rotation,10.0,10.0,0.0,20.0
mistral-7b-instruct-4k,Road3,42,Velocity,10.0,10.0,0.0,20.0
